Dec 19 12:25:13 test kernel: [78448.735792] [TRACE_KVM] Buffer & to_replay created
Dec 19 12:25:13 test kernel: [78448.735827] [HAVFUZZ] Opened
Dec 19 12:25:44 test kernel: [78480.000433] [TRACE_KVM] The trarget vcpu is 3
Dec 19 12:25:44 test kernel: [78480.070162] [Trace KVM] Buffer reset
Dec 19 12:25:44 test kernel: [78480.070169] [TRACE_KVM] Buffer size changed
Dec 19 12:25:44 test kernel: [78480.070174] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 19 12:25:44 test kernel: [78480.070177] [TRACE_KVM] gran exit set to 0.
Dec 19 12:25:44 test kernel: [78480.070178] [TRACE_KVM] Control_execution set to 1.
Dec 19 12:25:44 test kernel: [78480.070180] [TRACE_KVM] tracing enabled
Dec 19 12:25:45 test kernel: [78480.938361] 158, L1: 1.
Dec 19 12:25:45 test kernel: [78480.938718] 159, L1: 1.
Dec 19 12:25:45 test kernel: [78480.952633] 160, L1: 1.
Dec 19 12:25:45 test kernel: [78480.954927] 161, L1: 1.
Dec 19 12:25:45 test kernel: [78480.954958] 162, L1: 1.
Dec 19 12:25:45 test kernel: [78480.954986] 163, L1: 1.
Dec 19 12:25:45 test kernel: [78480.955012] 164, L1: 1.
Dec 19 12:25:45 test kernel: [78480.955037] 165, L1: 1.
Dec 19 12:25:45 test kernel: [78480.955063] 166, L1: 1.
Dec 19 12:25:45 test kernel: [78480.955089] 167, L1: 1.
Dec 19 12:25:45 test kernel: [78480.955706] 168, L1: 1.
Dec 19 12:25:45 test kernel: [78480.955734] 169, L1: 1.
Dec 19 12:25:45 test kernel: [78480.955760] 170, L1: 1.
Dec 19 12:25:45 test kernel: [78480.960983] 171, L1: 1.
Dec 19 12:25:45 test kernel: [78481.089563] 172, L1: 1.
Dec 19 12:25:45 test kernel: [78481.101156] 173, L1: 1.
Dec 19 12:25:45 test kernel: [78481.101293] 174, L1: 1.
Dec 19 12:25:45 test kernel: [78481.101483] 175, L1: 1.
Dec 19 12:25:45 test kernel: [78481.104974] 176, L1: 1.
Dec 19 12:25:45 test kernel: [78481.168720] 177, L1: 1.
Dec 19 12:25:45 test kernel: [78481.168837] 178, L1: 1.
Dec 19 12:25:45 test kernel: [78481.168886] 179, L1: 1.
Dec 19 12:25:45 test kernel: [78481.168930] 180, L1: 1.
Dec 19 12:25:45 test kernel: [78481.168975] 181, L1: 1.
Dec 19 12:25:45 test kernel: [78481.169019] 182, L1: 1.
Dec 19 12:25:45 test kernel: [78481.169063] 183, L1: 1.
Dec 19 12:25:45 test kernel: [78481.176720] 184, L1: 1.
Dec 19 12:25:46 test kernel: [78481.230457] 185, L1: 1.
Dec 19 12:25:46 test kernel: [78481.233694] 186, L1: 1.
Dec 19 12:25:46 test kernel: [78481.263799] 187, L1: 1.
Dec 19 12:25:46 test kernel: [78481.274979] 188, L1: 1.
Dec 19 12:25:46 test kernel: [78481.332945] 189, L1: 1.
Dec 19 12:25:46 test kernel: [78481.339237] 190, L1: 1.
